code,gu,dong,older,disableratio,fireratio,bankratio,seniorcenterratio,movinginrartio,movingoutratio
광진구자양2동,광진구,자양2동,470,0.035618603,0.000515216,0.000103043,0.000377825,0.131654874,0.150923954
광진구자양3동,광진구,자양3동,477,0.026597721,0.000278672,0.000216745,0.000557345,0.134443894,0.145962348
광진구자양4동,광진구,자양4동,714,0.038498856,0.000935616,6.93049E-05,0.000311872,0.117402453,0.147030286
동대문구회기동,동대문구,회기동,184,0.030085281,0.00078964,0.000473784,0.000315856,0.18295957,0.19006633
동대문구휘경1동,동대문구,휘경1동,463,0.042089822,0.000564207,0.000112841,0.000338524,0.168246445,0.195666892
동대문구휘경2동,동대문구,휘경2동,391,0.03228251,0.000416793,7.57805E-05,0.000416793,0.179107305,0.145688087
동대문구청량리동,동대문구,청량리동,1177,0.055939932,0.000550358,0.000275179,0.000471735,0.117776555,0.123555311
동대문구용신동,동대문구,용신동,873,0.048122136,0.000654723,0.000327361,0.000297601,0.143622403,0.154336051
동대문구제기동,동대문구,제기동,1199,0.047533419,0.000542851,0.000305354,0.000339282,0.142227048,0.150573387
동대문구전농1동,동대문구,전농1동,1290,0.057942828,0.000587134,0.000110088,0.000256871,0.12014238,0.138820594
동대문구전농2동,동대문구,전농2동,428,0.043488254,0.000275824,0.000183883,0.000551648,0.118926125,0.123431251
동대문구답십리1동,동대문구,답십리1동,590,0.046545525,0.00063162,0.000388689,0.000485861,0.140073851,0.164318336
동대문구답십리2동,동대문구,답십리2동,817,0.048595575,0.000310713,3.10713E-05,0.000621427,0.103933632,0.123166791
동대문구장안1동,동대문구,장안1동,774,0.039759763,0.000655669,0.000314721,0.000314721,0.135775919,0.136536495
동대문구장안2동,동대문구,장안2동,399,0.039247133,0.000302599,9.07798E-05,0.000363119,0.132356946,0.139225951
동대문구이문1동,동대문구,이문1동,880,0.03911756,0.000533017,0.000118448,0.000296121,0.150103642,0.169144211
동대문구이문2동,동대문구,이문2동,341,0.041524099,0.000295696,0,0.000422422,0.122248976,0.130739661
중랑구면목2동,중랑구,면목2동,717,0.046683566,0.000352063,3.52063E-05,0.000211238,0.132023659,0.152689762
중랑구면목4동,중랑구,면목4동,692,0.061323672,0.000530176,0,0.000309269,0.145312362,0.186577715
중랑구면목5동,중랑구,면목5동,363,0.049628653,0.000485875,0.000138821,0.000208232,0.144235441,0.158048171
중랑구면목7동,중랑구,면목7동,605,0.04258608,0.000347799,0.000115933,0.000425088,0.134714225,0.156200487
중랑구상봉1동,중랑구,상봉1동,500,0.055370557,0.000387207,3.87207E-05,0.000425927,0.123131728,0.13889104
중랑구상봉2동,중랑구,상봉2동,601,0.048672566,0.000586416,0.000213242,0.000213242,0.184614564,0.195703167
중랑구중화1동,중랑구,중화1동,429,0.041905724,0.000367191,4.58989E-05,0.000137697,0.142240786,0.157249736
중랑구중화2동,중랑구,중화2동,1121,0.053249476,0.000612804,0.000129011,0.000161264,0.129624254,0.154426705
중랑구묵1동,중랑구,묵1동,643,0.039135111,0.000358532,0.000110317,0.000358532,0.147659891,0.147577153
중랑구묵2동,중랑구,묵2동,551,0.047120936,0.000345389,0.000148024,0.000345389,0.155375734,0.1609513
중랑구망우3동,중랑구,망우3동,527,0.047680412,0.000824742,5.15464E-05,0.000103093,0.153402062,0.172731959
중랑구신내1동,중랑구,신내1동,438,0.042982701,0.000310569,6.21137E-05,0.00059008,0.119413646,0.130935743
중랑구신내2동,중랑구,신내2동,546,0.058178786,0.000277987,0.000119137,0.000357412,0.117390096,0.137603749
중랑구면목본동,중랑구,면목본동,935,0.048368833,0.000458345,8.08843E-05,0.00018873,0.148719331,0.162065247
중랑구면목3.8동,중랑구,면목3.8동,821,0.045892658,0.000608746,3.38192E-05,0.000304373,0.150799824,0.169062194
중랑구망우본동,중랑구,망우본동,1099,0.052183356,0.000743027,0.00014289,0.000342936,0.158264746,0.145833333
성북구돈암1동,성북구,돈암1동,390,0.037651143,0.000239435,5.98587E-05,0.000419011,0.126421645,0.138513109
성북구돈암2동,성북구,돈암2동,356,0.027981004,4.27844E-05,0.000171138,0.000342275,0.115132846,0.152226929
성북구안암동,성북구,안암동,427,0.037026968,0.000652458,0.000434972,0.000326229,0.186004785,0.194106133
성북구보문동,성북구,보문동,454,0.043197892,0.000970739,0.000277354,0.000416031,0.165441686,0.200388296
성북구정릉1동,성북구,정릉1동,430,0.03601336,0.000242025,4.84051E-05,0.000484051,0.138632073,0.156396728
성북구정릉2동,성북구,정릉2동,603,0.038186545,0.000284368,0.000162496,0.000487488,0.139462138,0.152096198
성북구정릉3동,성북구,정릉3동,725,0.04561669,0.00059453,5.40482E-05,0.000216193,0.134688142,0.155875041
성북구정릉4동,성북구,정릉4동,696,0.036278442,0.000603457,0.00014199,0.000496965,0.133932058,0.143090412
성북구길음1동,성북구,길음1동,480,0.029523453,0.000267423,0.000213938,0.000374392,0.142402524,0.154302829
성북구길음2동,성북구,길음2동,700,0.047024316,0.000567698,0.000141924,0.000236541,0.155123474,0.13563251
성북구월곡1동,성북구,월곡1동,690,0.044145219,0.000374979,0.000204534,0.000306801,0.123674791,0.129844895
성북구월곡2동,성북구,월곡2동,500,0.045136507,0.000640234,0.000228655,0.000411579,0.147848356,0.153747656
성북구장위1동,성북구,장위1동,634,0.044746563,0.000609315,7.61644E-05,0.000114247,0.114970105,0.142617769
성북구장위2동,성북구,장위2동,632,0.045244126,0.000349375,0.000131016,8.73439E-05,0.12088392,0.144248406
성북구장위3동,성북구,장위3동,564,0.049015544,0.000466321,0.000103627,0.000259067,0.121554404,0.145854922
성북구성북동,성북구,성북동,674,0.034783052,0.000407415,0.000203707,0.000356488,0.147433286,0.15614178
성북구삼선동,성북구,삼선동,791,0.037919451,0.000484815,0.000311667,0.000242407,0.174706514,0.143055026
성북구동선동,성북구,동선동,503,0.036685903,0.001118832,0.000176658,0.000294429,0.214285714,0.197679896
성북구종암동,성북구,종암동,1079,0.037346762,0.000341795,9.11452E-05,0.000410154,0.121223169,0.129380668
성북구석관동,성북구,석관동,1071,0.046905248,0.000340083,0.000156961,0.000183121,0.111442474,0.132239837
강북구번1동,강북구,번1동,604,0.044482141,0.001225144,0.000188484,0.000376967,0.174158892,0.171944209
강북구번2동,강북구,번2동,617,0.068169241,0.000352166,0,0.000452785,0.114755748,0.133772702
강북구번3동,강북구,번3동,607,0.095828054,0.000469285,4.69285E-05,0.000563142,0.102867333,0.113848609
강북구수유1동,강북구,수유1동,762,0.050133718,0.000806554,0.000169801,0.000254701,0.147811691,0.162329668
