code,gu,dong,disable,fire,bank,seniorcenter,movingin,movingout,older,older2013
노원구중계1동,노원구,중계1동,840,11,6,18,3800,4083,401,388
노원구중계4동,노원구,중계4동,1343,15,3,14,2896,3215,614,679
노원구상계1동,노원구,상계1동,1954,15,2,10,5165,5602,1647,876
노원구상계2동,노원구,상계2동,913,13,2,14,3344,3834,483,525
노원구상계5동,노원구,상계5동,1106,21,2,28,3524,3832,631,717
노원구상계8동,노원구,상계8동,804,10,3,14,4128,4664,396,416
노원구상계9동,노원구,상계9동,777,9,4,16,3239,3786,482,524
노원구상계10동,노원구,상계10동,592,4,2,8,3102,3487,393,439
노원구상계3.4동,노원구,상계3.4동,2180,19,1,9,4016,5010,1450,1658
노원구상계6.7동,노원구,상계6.7동,1261,13,15,5,5015,5641,884,954
노원구중계2.3동,노원구,중계2.3동,3310,11,3,4,4585,5183,1256,1449
노원구공릉1동,노원구,공릉1동,2231,15,7,5,5497,6018,930,989
은평구녹번동,은평구,녹번동,1404,19,2,8,4842,5666,1093,1209
은평구불광1동,은평구,불광1동,1583,14,5,8,6067,6230,1108,1245
은평구갈현1동,은평구,갈현1동,1104,12,4,8,3903,4347,755,815
은평구갈현2동,은평구,갈현2동,1055,16,3,8,4827,4521,596,682
은평구구산동,은평구,구산동,2409,17,0,8,5128,5016,677,749
은평구대조동,은평구,대조동,1332,14,7,8,5345,5215,949,1022
은평구응암1동,은평구,응암1동,1350,11,7,8,4972,5363,861,919
은평구응암2동,은평구,응암2동,1088,11,1,8,9667,3371,725,830
은평구신사1동,은평구,신사1동,1161,12,2,8,4599,4664,544,582
은평구신사2동,은평구,신사2동,954,13,0,8,3167,3704,536,606
은평구증산동,은평구,증산동,886,6,1,8,2846,3294,515,515
은평구수색동,은평구,수색동,1011,13,3,8,2246,2898,697,711
은평구진관동,은평구,진관동,1819,15,9,8,8738,5791,576,594
은평구불광2동,은평구,불광2동,1461,13,2,8,4206,4671,1102,1199
은평구응암3동,은평구,응암3동,1270,15,4,8,4588,4713,935,1009
은평구역촌동,은평구,역촌동,2018,19,4,8,7750,7744,1047,1147
서대문구천연동,서대문구,천연동,850,3,1,13,3072,3272,297,820
서대문구홍제1동,서대문구,홍제1동,1072,10,3,8,3732,4307,781,862
서대문구홍제3동,서대문구,홍제3동,952,8,3,9,2474,2982,331,736
서대문구홍제2동,서대문구,홍제2동,626,3,3,8,2045,2499,366,425
서대문구홍은1동,서대문구,홍은1동,1182,14,1,10,2922,3145,1212,848
서대문구홍은2동,서대문구,홍은2동,1263,11,4,7,4226,4787,867,777
서대문구남가좌1동,서대문구,남가좌1동,166,3,4,1,522,867,356,164
서대문구남가좌2동,서대문구,남가좌2동,1460,7,5,11,4046,4760,709,951
서대문구북가좌1동,서대문구,북가좌1동,559,3,0,5,7971,1501,847,341
